slug,episode,local_file,r2_key,audioUrl
2020/10/37.html,37,mp3/37- פרק 37 • המהרל מפראג.m4a,episodes/2020/10/37.m4a,https://audio.kedma.xyz/episodes/2020/10/37.m4a
2020/11/38.html,38,mp3/38- פרק 38 • דונה גרציה.m4a,episodes/2020/11/38.m4a,https://audio.kedma.xyz/episodes/2020/11/38.m4a
2020/12/39.html,39,mp3/39- פרק 39 • מאי חנוכה.m4a,episodes/2020/12/39.m4a,https://audio.kedma.xyz/episodes/2020/12/39.m4a
2020/12/40.html,40,mp3/40- פרק 40 • יונתן החשמונאי.m4a,episodes/2020/12/40.m4a,https://audio.kedma.xyz/episodes/2020/12/40.m4a
2021/01/41.html,41,mp3/41- פרק 41 • המגילות הגנוזות.m4a,episodes/2021/01/41.m4a,https://audio.kedma.xyz/episodes/2021/01/41.m4a
2021/02/42.html,42,mp3/42- פרק 42 • שלומציון המלכה.m4a,episodes/2021/02/42.m4a,https://audio.kedma.xyz/episodes/2021/02/42.m4a
2021/03/43.html,43,mp3/43- פרק 43 • הרב הפיראט • דון שמואל פלאג'י.m4a,episodes/2021/03/43.m4a,https://audio.kedma.xyz/episodes/2021/03/43.m4a
2021/04/44.html,44,mp3/44- פרק 44 • הזוהר.m4a,episodes/2021/04/44.m4a,https://audio.kedma.xyz/episodes/2021/04/44.m4a
2021/06/45.html,45,mp3/45- פרק 45 • הארי הקדוש.m4a,episodes/2021/06/45.m4a,https://audio.kedma.xyz/episodes/2021/06/45.m4a
2021/07/46.html,46,mp3/46- פרק 46 • הורדוס.m4a,episodes/2021/07/46.m4a,https://audio.kedma.xyz/episodes/2021/07/46.m4a
2021/08/47.html,47,mp3/47- פרק 47 • דוד גנז.m4a,episodes/2021/08/47.m4a,https://audio.kedma.xyz/episodes/2021/08/47.m4a
2021/10/48.html,48,mp3/48- פרק 48 • מנשה בן ישראל.m4a,episodes/2021/10/48.m4a,https://audio.kedma.xyz/episodes/2021/10/48.m4a
2021/11/49.html,49,mp3/49- פרק 49 • השמיטה הראשונה של עקרון.m4a,episodes/2021/11/49.m4a,https://audio.kedma.xyz/episodes/2021/11/49.m4a
2022/01/50.html,50,mp3/50- פרק 50 • הרב קוק והשמיטה.mp3,episodes/2022/01/50.mp3,https://audio.kedma.xyz/episodes/2022/01/50.mp3
2022/02/51.html,51,mp3/51- פרק 51 • אש המחלוקת בפרובנס.mp3,episodes/2022/02/51.mp3,https://audio.kedma.xyz/episodes/2022/02/51.mp3
2022/03/52.html,52,mp3/52- פרק 52 • רבי משה חיים לוצאטו • הרמח״ל.mp3,episodes/2022/03/52.mp3,https://audio.kedma.xyz/episodes/2022/03/52.mp3
2022/04/53.html,53,mp3/53- פרק 53 • הבעל שם טוב.mp3,episodes/2022/04/53.mp3,https://audio.kedma.xyz/episodes/2022/04/53.mp3
2022/06/54.html,54,mp3/54- פרק 54 • החסידות.mp3,episodes/2022/06/54.mp3,https://audio.kedma.xyz/episodes/2022/06/54.mp3
2022/08/55.html,55,mp3/55- פרק 55 • הגאון מווילנה.mp3,episodes/2022/08/55.mp3,https://audio.kedma.xyz/episodes/2022/08/55.mp3
2022/09/56.html,56,mp3/56- פרק 56 • בעל התניא • רבי שנאור זלמן מלאדי.mp3,episodes/2022/09/56.mp3,https://audio.kedma.xyz/episodes/2022/09/56.mp3
2022/11/57.html,57,mp3/57- פרק 57 • עליית תקל״ז • עליית החסידים.mp3,episodes/2022/11/57.mp3,https://audio.kedma.xyz/episodes/2022/11/57.mp3
2023/01/58.html,58,mp3/58- פרק 58 • המסע המופלא של החיד״א.mp3,episodes/2023/01/58.mp3,https://audio.kedma.xyz/episodes/2023/01/58.mp3
2023/02/59.html,59,mp3/59- פרק 59 • חיים פרחי • השר מעכו.mp3,episodes/2023/02/59.mp3,https://audio.kedma.xyz/episodes/2023/02/59.mp3
2023/04/60.html,60,mp3/60- פרק 60 • הרב יהודה אלקלעי • החוזה הראשון.mp3,episodes/2023/04/60.mp3,https://audio.kedma.xyz/episodes/2023/04/60.mp3
2023/07/61.html,61,mp3/61- פרק 61 • כנסת הגדולה.mp3,episodes/2023/07/61.mp3,https://audio.kedma.xyz/episodes/2023/07/61.mp3
2023/09/62.html,62,mp3/62- פרק 62 • תרגום השבעים.m4a,episodes/2023/09/62.m4a,https://audio.kedma.xyz/episodes/2023/09/62.m4a
2023/11/63.html,63,mp3/63- פרק 63 • המשורר מעזה • רבי ישראל נג׳ארה.m4a,episodes/2023/11/63.m4a,https://audio.kedma.xyz/episodes/2023/11/63.m4a
2023/12/64.html,64,mp3/64- פרק 64 • החכם מאלכסנדריה • פילון האלכסנדרוני.mp3,episodes/2023/12/64.mp3,https://audio.kedma.xyz/episodes/2023/12/64.mp3
2024/03/65.html,65,mp3/65- פרק 65 • רבי יהודה הנשיא.mp3,episodes/2024/03/65.mp3,https://audio.kedma.xyz/episodes/2024/03/65.mp3
2024/05/66.html,66,mp3/66- פרק 66 • התלמוד הירושלמי.mp3,episodes/2024/05/66.mp3,https://audio.kedma.xyz/episodes/2024/05/66.mp3
2024/05/67.html,67,mp3/67- פרק 67 • ל״ג בעומר במירון.mp3,episodes/2024/05/67.mp3,https://audio.kedma.xyz/episodes/2024/05/67.mp3
2024/08/68.html,68,mp3/68- פרק 68 • סורא ופומבדיתא.mp3,episodes/2024/08/68.mp3,https://audio.kedma.xyz/episodes/2024/08/68.mp3
2024/10/69.html,69,mp3/69- פרק 69 • לאן נעלמו יהודי ח׳יבר.mp3,episodes/2024/10/69.mp3,https://audio.kedma.xyz/episodes/2024/10/69.mp3
2025/01/70.html,70,mp3/70- פרק 70 • בעלי התוספות.mp3,episodes/2025/01/70.mp3,https://audio.kedma.xyz/episodes/2025/01/70.mp3
2025/03/71.html,71,mp3/71- פרק 71 • רבינו תם.mp3,episodes/2025/03/71.mp3,https://audio.kedma.xyz/episodes/2025/03/71.mp3
2025/07/72.html,72,mp3/72-פרק 72 עליית בעלי התוספות.mp3,episodes/2025/07/72.mp3,https://audio.kedma.xyz/episodes/2025/07/72.mp3
2025/09/73.html,73,mp3/73 פרק 73 אבן גבירול.mp3,episodes/2025/09/73.mp3,https://audio.kedma.xyz/episodes/2025/09/73.mp3
2025/11/74.html,74,mp3/74 פרק 74 הרלבג.mp3,episodes/2025/11/74.mp3,https://audio.kedma.xyz/episodes/2025/11/74.mp3
2025/12/75.html,75,mp3/75 פרק 75 יהדות תוניסיה.mp3,episodes/2025/12/75.mp3,https://audio.kedma.xyz/episodes/2025/12/75.mp3
2026/02/76.html,76,mp3/76 פרק 76 הרב חלפון.mp3,episodes/2026/02/76.mp3,https://audio.kedma.xyz/episodes/2026/02/76.mp3
2026/05/77.html,77,mp3/77 פרק 77 אור החיים הקדוש.mp3,episodes/2026/05/77.mp3,https://audio.kedma.xyz/episodes/2026/05/77.mp3
